date,Month,hive_weight,hive_temperature,hive_humidity,ambient_temperature,ambient_humidity,ambient_luminosity,ambient_rain,wx_temp,wx_humidity,wx_wind,wx_gusts,wx_direction,wx_dewpoint,wx_pressure,wx_rain,battery,KMeansLabel,Estacao
2017-03-01 13:15:01,3,26.49,6.8,90.0,2.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 13:20:01,3,26.39,6.8,90.0,2.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 13:25:01,3,26.39,6.9,91.0,2.5,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 13:30:01,3,26.42,6.9,91.0,2.8,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 13:35:01,3,26.44,7.0,91.0,3.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 13:40:01,3,26.43,7.0,91.0,3.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 13:45:01,3,26.39,7.2,91.0,3.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 13:50:01,3,26.39,7.2,91.0,3.5,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 13:55:01,3,26.46,7.3,91.0,3.6,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 14:00:01,3,26.44,7.5,91.0,3.8,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 14:05:01,3,26.36,7.4,91.0,4.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 14:10:02,3,26.37,7.6,91.0,4.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 14:15:01,3,26.39,7.5,91.0,4.7,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 14:20:01,3,26.29,7.5,91.0,5.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 14:25:01,3,26.3,7.5,91.0,5.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 14:30:01,3,26.37,7.4,91.0,5.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 14:35:01,3,26.33,7.2,91.0,5.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 14:40:01,3,26.44,7.2,91.0,5.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 14:45:01,3,26.4,7.4,91.0,5.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 14:50:01,3,26.31,7.4,91.0,5.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 14:55:01,3,26.39,7.6,91.0,5.5,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 15:00:01,3,26.36,7.7,91.0,5.5,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 15:05:01,3,26.4,7.8,91.0,6.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 15:10:01,3,26.29,7.8,91.0,6.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 15:15:01,3,26.35,8.0,91.0,6.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 15:20:01,3,26.4,8.0,91.0,5.8,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 15:25:01,3,26.5,8.1,91.0,5.6,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 15:30:01,3,26.36,7.8,91.0,5.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 15:35:01,3,26.28,7.7,91.0,4.7,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 15:40:01,3,26.39,7.7,91.0,4.5,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 15:45:01,3,26.43,7.5,91.0,4.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 15:50:01,3,26.38,7.2,91.0,4.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 15:55:01,3,26.4,7.4,91.0,4.7,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 16:00:01,3,26.34,7.7,91.0,4.8,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 16:05:01,3,26.32,7.8,91.0,4.7,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
